Date,Open,High,Low,Close,Adj Close,Volume
2022-04-19,67100.0,68000.0,67000.0,67300.0,67300.0,12959434
2022-04-20,67000.0,67400.0,66500.0,67400.0,67400.0,16693293
2022-04-21,67600.0,68300.0,67500.0,67700.0,67700.0,12847448
2022-04-22,67200.0,67300.0,66700.0,67000.0,67000.0,11791478
2022-04-25,66500.0,66700.0,66300.0,66300.0,66300.0,11016474
2022-04-26,66400.0,66700.0,66100.0,66100.0,66100.0,12946923
2022-04-27,65400.0,65500.0,64900.0,65000.0,65000.0,18122084
2022-04-28,65400.0,65500.0,64500.0,64800.0,64800.0,16895527
2022-04-29,65100.0,67600.0,65000.0,67400.0,67400.0,26190390
2022-05-02,66600.0,67600.0,66500.0,67300.0,67300.0,14106184
2022-05-03,67400.0,68400.0,67300.0,67500.0,67500.0,14168875
2022-05-04,68000.0,68400.0,67500.0,67900.0,67900.0,11505248
2022-05-06,67000.0,67100.0,66500.0,66500.0,66500.0,14356156
2022-05-10,65900.0,66300.0,65300.0,65700.0,65700.0,17235605
2022-05-11,65500.0,66300.0,65200.0,65700.0,65700.0,12330920
2022-05-12,65200.0,65500.0,64900.0,64900.0,64900.0,16414188
2022-05-13,65300.0,66700.0,65200.0,66500.0,66500.0,14551536
2022-05-16,67100.0,67400.0,66100.0,66300.0,66300.0,11937555
2022-05-17,66600.0,67900.0,66600.0,67600.0,67600.0,15680447
2022-05-18,68300.0,68700.0,67600.0,68100.0,68100.0,16486319
2022-05-19,66500.0,67600.0,66500.0,67500.0,67500.0,17073727
2022-05-20,67800.0,68400.0,67700.0,68000.0,68000.0,12109671
2022-05-23,68800.0,68800.0,67600.0,67900.0,67900.0,13684088
2022-05-24,67500.0,67700.0,66500.0,66500.0,66500.0,15482576
2022-05-25,66700.0,67100.0,65900.0,66400.0,66400.0,15150490
2022-05-26,66300.0,67200.0,65500.0,65900.0,65900.0,15970890
2022-05-27,66700.0,66900.0,66200.0,66500.0,66500.0,11405555
2022-05-30,67500.0,67800.0,66900.0,67700.0,67700.0,14255484
2022-05-31,67500.0,67500.0,66700.0,67400.0,67400.0,24365002
2022-06-02,66600.0,67000.0,66400.0,66700.0,66700.0,14959443
2022-06-03,67200.0,67300.0,66800.0,66800.0,66800.0,8222883
2022-06-07,66200.0,66400.0,65400.0,65500.0,65500.0,19355755
2022-06-08,65400.0,65700.0,65300.0,65300.0,65300.0,12483180
2022-06-09,65100.0,65200.0,64500.0,65200.0,65200.0,25790725
2022-06-10,64000.0,64400.0,63800.0,63800.0,63800.0,22193552
2022-06-13,62400.0,62800.0,62100.0,62100.0,62100.0,22157816
2022-06-14,61200.0,62200.0,61100.0,61900.0,61900.0,24606419
2022-06-15,61300.0,61500.0,60200.0,60700.0,60700.0,26811224
2022-06-16,61300.0,61800.0,60500.0,60900.0,60900.0,23394895
2022-06-17,59400.0,59900.0,59400.0,59800.0,59800.0,29053450
2022-06-20,59800.0,59900.0,58100.0,58700.0,58700.0,34111306
2022-06-21,58700.0,59200.0,58200.0,58500.0,58500.0,25148109
2022-06-22,59000.0,59100.0,57600.0,57600.0,57600.0,23334687
2022-06-23,57700.0,58000.0,56800.0,57400.0,57400.0,28338608
2022-06-24,57900.0,59100.0,57700.0,58400.0,58400.0,23256103
